Dimension,FunctionID,Run,Algorithm,BestSolution,BestFitness
2,1,16,PSO,"[8.550014688911954e-13, -5.635101451104308e-12]",1.59556812207029e-11
2,1,17,DE/rand/1/bin,"[-1.156600052429741e-16, -2.5361029224439446e-16]",4.440892098500626e-16
2,1,17,DE/best/1/bin,"[-100.0, 100.0]",19.99999995877693
2,1,17,PSO,"[-7.173380928742395e-13, -5.012670388311742e-14]",2.0325963134837366e-12
2,1,18,DE/rand/1/bin,"[-3.601382561651159e-09, -4.0]",8.640585759756158
2,1,18,DE/best/1/bin,"[-3.5055144980321057e-10, 5.277053942160331e-09]",1.4958658756114573e-08
2,1,18,PSO,"[2.6562954067584655e-12, -2.7411284237389385e-11]",2.6141311337823936e-11
2,1,19,DE/rand/1/bin,"[16.997497037548, 60.0]",19.997210735717328
2,1,19,DE/best/1/bin,"[0.0005357480976736627, 0.004928373999939551]",0.014675952990601093
2,1,19,PSO,"[-2.920484819296048e-14, 1.1849423526345898e-15]",8.215650382226158e-14
2,2,0,DE/rand/1/bin,"[-0.2450748237423852, -0.317689461984493]",0.0542960173398207
2,2,0,DE/best/1/bin,"[0.171195249368024, -17.753514366767284]",0.09350226630560066
2,2,0,PSO,"[7.998527490200859e-09, 3.1004315673084825e-09]",0.0
2,2,1,DE/rand/1/bin,"[3.1342260660508963, 12.92628259288908]",0.08445642797102826
2,2,1,DE/best/1/bin,"[3.140023474704819, 13.315332714226143]",0.04683501858835848
2,2,1,PSO,"[-3.140022628099574, -4.438444477548856]",0.007396040334114895
2,2,2,DE/rand/1/bin,"[-0.24177342328676232, -0.07728563530976906]",0.030550681337871755
2,2,2,DE/best/1/bin,"[-31.74753611066863, 0.6484858766296888]",0.4042382123021413
2,2,2,PSO,"[9.420067883560636, -4.438444431255718]",0.027125384395415453
2,2,3,DE/rand/1/bin,"[6.118054538340045, -8.687370381057235]",0.05151880846558887
2,2,3,DE/best/1/bin,"[3.4343529426332506e-09, -17.751302064046108]",0.07887948957279067
2,2,3,PSO,"[9.420067883013122, -4.438444432801038]",0.027125384395415453
2,2,4,DE/rand/1/bin,"[3.123409486939858, -4.438443764857237]",0.007534102435660439
2,2,4,DE/best/1/bin,"[3.140974721478626, 4.438469355862837]",0.00739649394830344
2,2,4,PSO,"[-9.574449019931924e-06, -17.753781929510048]",0.07887795621883043
2,2,5,DE/rand/1/bin,"[3.1400226350051024, -4.438444487040498]",0.007396040334114895
2,2,5,DE/best/1/bin,"[-6.318384704973592, 0.1175687337244453]",0.01405485952474761
2,2,5,PSO,"[-3.140022633413521, 4.438444491474914]",0.007396040334114895
2,2,6,DE/rand/1/bin,"[4.206312871192125e-09, 6.048705782068477e-10]",0.0
2,2,6,DE/best/1/bin,"[-3.077424437179531, 4.43801028566771]",0.009355616245604437
2,2,6,PSO,"[-3.140022644271783, -4.4384444875128075]",0.007396040334115006
2,2,7,DE/rand/1/bin,"[9.187045342445067, 4.4383161657043235]",0.05415574019655056
2,2,7,DE/best/1/bin,"[18.637492616426826, 18.101016010761008]",0.21756421405868676
2,2,7,PSO,"[2.641372560583368e-05, 5.985960985978935e-06]",3.579837537515118e-10
2,2,8,DE/rand/1/bin,"[-12.590831045090784, 8.993064968718334]",0.063026235135896
2,2,8,DE/best/1/bin,"[3.140094268999446, 4.438572181380955]",0.007396046982049431
2,2,8,PSO,"[3.1400226350770857, -4.4384444816937885]",0.007396040334114895
2,2,9,DE/rand/1/bin,"[-6.280045278808874, -6.565845810393721e-09]",0.009864672061006052
2,2,9,DE/best/1/bin,"[3.1400199643713655, -4.438444177072393]",0.007396040337702914
2,2,9,PSO,"[0.00794100242293204, 0.07336470006921951]",1.528320191890309e-05
2,2,10,DE/rand/1/bin,"[6.28004527776216, 1.3831780787277586e-08]",0.009864672061006052
2,2,10,DE/best/1/bin,"[3.1394827975902495, 22.427760154275703]",0.13957490242623605
2,2,10,PSO,"[-0.0026432377491956353, 0.0022389460664566036]",4.677386478135759e-08
2,2,11,DE/rand/1/bin,"[9.896497192101085e-09, -6.115667251884758e-09]",0.0
2,2,11,DE/best/1/bin,"[-6.328885822996238, -0.131790354286216]",0.015396630490731034
2,2,11,PSO,"[3.1400226281466095, -4.43844448028474]",0.007396040334114895
2,2,12,DE/rand/1/bin,"[-3.140022629583255, 4.4384444760578585]",0.007396040334114895
2,2,12,DE/best/1/bin,"[-3.1400225694794712, -13.315333271469182]",0.04683501858787409
2,2,12,PSO,"[0.004123647599576816, -0.0038889975571542784]",4.663685791328476e-06
2,2,13,DE/rand/1/bin,"[-3.140022630287851, 4.438444468474307]",0.007396040334114895
2,2,13,DE/best/1/bin,"[-0.2549414265054956, 8.830096468526364]",0.05258046261808036
2,2,13,PSO,"[-5.385985862693231e-09, 3.789072692086843e-08]",2.220446049250313e-16
2,2,14,DE/rand/1/bin,"[-3.1400226431699823, 4.438444477180231]",0.007396040334114895
2,2,14,DE/best/1/bin,"[-6.190663241621996, 1.1171914934785476e-08]",0.013858191717487478
2,2,14,PSO,"[-2.670254058275643e-05, -2.099805716615634e-05]",3.679890836494337e-10
2,2,15,DE/rand/1/bin,"[-3.140022638017889, -4.438444486033693]",0.007396040334114895
2,2,15,DE/best/1/bin,"[3.1400225652154354, 4.438430796880632]",0.007396040380976965
2,2,15,PSO,"[3.140022638560703, 4.438444491668802]",0.007396040334114895
2,2,16,DE/rand/1/bin,"[6.380282561057473, -0.29318111012382175]",0.03621981052246959
2,2,16,DE/best/1/bin,"[-3.1840377933177124, 4.732700461247942]",0.029941112973016493
2,2,16,PSO,"[-3.1400226394947848, -4.438444481405535]",0.007396040334114895
2,2,17,DE/rand/1/bin,"[-6.153948957451117, -8.87681435158047]",0.03752649579176315
2,2,17,DE/best/1/bin,"[12.11895749185025, -26.543833512092604]",0.3141919346693871
2,2,17,PSO,"[-6.641180630471756e-09, 1.288825777648759e-08]",0.0
2,2,18,DE/rand/1/bin,"[-3.376945540077287, -4.488265023119922]",0.035955603583549545
2,2,18,DE/best/1/bin,"[-6.287130081796279, -3.294183680961649e-06]",0.009889781782371099
2,2,18,PSO,"[-3.1400185760237456, -4.438442894054709]",0.007396040334120113
2,2,19,DE/rand/1/bin,"[2.7049780079680833e-09, 1.2394140902705412e-08]",0.0
2,2,19,DE/best/1/bin,"[6.2800337341734584, -17.65037537869823]",0.09141606448167527
2,2,19,PSO,"[3.1400226323985483, 4.438444457188251]",0.007396040334115006
2,3,0,DE/rand/1/bin,"[66.25965482317002, 65.54786557551844]",710.7630356618445
2,3,0,DE/best/1/bin,"[65.54786509532103, 65.54786524827412]",710.695836096891
2,3,0,PSO,"[-100.0, 65.54786498088096]",719.9287069595085
2,3,1,DE/rand/1/bin,"[67.03167110596465, 65.54786496530687]",710.988165045012
2,3,1,DE/best/1/bin,"[65.5475802352396, 65.5497582466602]",710.695836582384
2,3,1,PSO,"[-25.877416862202256, 65.54786445667273]",750.2478578253772
2,3,2,DE/rand/1/bin,"[58.045909127051274, 71.84225528124512]",723.1306737339197
2,3,2,DE/best/1/bin,"[65.54774532785459, -25.878109606833227]",750.2478578959522
2,3,2,PSO,"[65.54786561618184, 65.5478645463363]",710.6958360968911
2,3,3,DE/rand/1/bin,"[57.87613609532559, 62.05234161296487]",719.8015041425222
2,3,3,DE/best/1/bin,"[-25.877417208012403, -100.0]",759.4807286879947
2,3,3,PSO,"[-100.0, 65.54786497211119]",719.9287069595085
2,3,4,DE/rand/1/bin,"[-100.0, -100.0]",729.161577822126
2,3,4,DE/best/1/bin,"[65.54786489095731, 65.5478655365759]",710.6958360968911
2,3,4,PSO,"[-100.0, -100.0]",729.161577822126
2,3,5,DE/rand/1/bin,"[65.54786582101713, 65.54786531397423]",710.6958360968911
2,3,5,DE/best/1/bin,"[64.06599008648611, 64.04275918837797]",711.2844515655456
2,3,5,PSO,"[65.54786502770546, 65.54786452069432]",710.6958360968911
2,3,6,DE/rand/1/bin,"[65.54786581741102, 65.54786530918126]",710.6958360968911
2,3,6,DE/best/1/bin,"[65.54786206782073, 65.55057755235434]",710.6958370714675
2,3,6,PSO,"[65.54786460250709, 65.54786563697256]",710.6958360968911
2,3,7,DE/rand/1/bin,"[65.54786475620782, -100.0]",719.9287069595085
2,3,7,DE/best/1/bin,"[65.54786556010592, -25.877416725753417]",750.2478578253772
2,3,7,PSO,"[-100.0, -100.0]",729.161577822126
2,3,8,DE/rand/1/bin,"[59.422724971911364, 65.54786447400033]",715.5348439698417
2,3,8,DE/best/1/bin,"[65.54786541621655, 65.54786495798001]",710.6958360968911
2,3,8,PSO,"[65.54786461749202, -100.0]",719.9287069595085
2,3,9,DE/rand/1/bin,"[-100.0, -100.0]",729.161577822126
2,3,9,DE/best/1/bin,"[65.54785410748643, 65.54786449113475]",710.695836096907
2,3,9,PSO,"[65.54786429919554, 65.54786514328508]",710.6958360968911
2,3,10,DE/rand/1/bin,"[-100.0, 65.5478643872569]",719.9287069595085
2,3,10,DE/best/1/bin,"[65.11581819916344, 60.45331658080444]",714.0898370594846
2,3,10,PSO,"[65.54786571785904, -100.0]",719.9287069595085
2,3,11,DE/rand/1/bin,"[-100.0, 65.54786449315438]",719.9287069595085
2,3,11,DE/best/1/bin,"[65.54786514100809, 65.54786446158485]",710.6958360968911
2,3,11,PSO,"[65.54786522367435, 65.54786508552786]",710.695836096891
2,3,12,DE/rand/1/bin,"[65.54786520073726, -100.0]",719.9287069595085
2,3,12,DE/best/1/bin,"[-26.099051562659945, 65.53311514833342]",750.2549319616022
2,3,12,PSO,"[65.54786459578635, 65.54786479563727]",710.6958360968911
2,3,13,DE/rand/1/bin,"[65.54786440671501, 65.54786522465729]",710.6958360968911
2,3,13,DE/best/1/bin,"[65.54786451571832, -25.877417392551838]",750.2478578253772
2,3,13,PSO,"[-100.0, 65.54786448643056]",719.9287069595085
2,3,14,DE/rand/1/bin,"[65.54786488322291, 65.54786593895587]",710.6958360968911
2,3,14,DE/best/1/bin,"[-25.87741735601502, 65.54786523089307]",750.2478578253772
2,3,14,PSO,"[65.54786497917333, 65.54786509088865]",710.695836096891
2,3,15,DE/rand/1/bin,"[65.54786527272445, 59.413161956755644]",715.549656022097
2,3,15,DE/best/1/bin,"[-100.0, -100.0]",729.161577822126
2,3,15,PSO,"[65.54786478399757, 65.54786574072085]",710.6958360968911
2,3,16,DE/rand/1/bin,"[65.54786545206026, 65.54786559595624]",710.6958360968911
2,3,16,DE/best/1/bin,"[65.54785984281958, -25.87741788909027]",750.2478578253808
2,3,16,PSO,"[65.54786533459206, 65.54786570795923]",710.6958360968911
2,3,17,DE/rand/1/bin,"[68.3861794523333, -100.0]",720.9992671297907
2,3,17,DE/best/1/bin,"[65.54786540690702, -25.877417732140326]",750.2478578253772
2,3,17,PSO,"[-100.0, -100.0]",729.161577822126
2,3,18,DE/rand/1/bin,"[71.28697756797371, 68.17922285931822]",715.9831485842457
2,3,18,DE/best/1/bin,"[65.54786464373515, 65.54786577120493]",710.6958360968911
2,3,18,PSO,"[65.54786547891526, -25.87741793437254]",750.2478578253772
2,3,19,DE/rand/1/bin,"[65.54786540983291, 65.78619229023298]",710.703363464988
2,3,19,DE/best/1/bin,"[-25.876584109045943, 65.54778563766152]",750.2478579257076
2,3,19,PSO,"[-100.0, 65.54786449933103]",719.9287069595085
2,4,0,DE/rand/1/bin,"[-86.17960984452064, 39.52121536886693]",-1.9287038400931769
2,4,0,DE/best/1/bin,"[-85.89519407108332, -80.17129298674533]",-1.6294658580343884
2,4,0,PSO,"[76.7936630214824, 33.21036402167844]",-1.9591859749782423
2,4,1,DE/rand/1/bin,"[-86.52231941055162, 39.20865233151776]",-1.9258528330893556
2,4,1,DE/best/1/bin,"[77.688959093005, -54.61877743637588]",-1.5619856623627932
2,4,1,PSO,"[44.70657812159209, 76.71213612203444]",-1.6251477478728824
2,4,2,DE/rand/1/bin,"[-86.636489339545, -60.93791489765535]",-1.9164300448781972
2,4,2,DE/best/1/bin,"[-36.157441006201665, -4.697333124502469]",-1.7966749168858558
2,4,2,PSO,"[96.13983312557275, -4.713125110324339]",-1.9487783127065812
2,4,3,DE/rand/1/bin,"[-98.624804298469, -100.0]",-1.1130820875432585
2,4,3,DE/best/1/bin,"[-17.661531774249084, 95.53528172452707]",-1.2450158143624699
2,4,3,PSO,"[95.77907440520598, 76.84068542468678]",-1.96340677389128
2,4,4,DE/rand/1/bin,"[-42.08862083362339, 45.71530653445865]",-1.9160158348572047
2,4,4,DE/best/1/bin,"[-24.026233420744383, 64.28606693172063]",-1.7291922517657459
2,4,4,PSO,"[8.009220152469755, 51.64553049226446]",-1.9698138402953813
2,4,5,DE/rand/1/bin,"[58.05575308554088, -79.64717927452725]",-1.8916716468416397
2,4,5,DE/best/1/bin,"[-17.91197897754062, 1.5707963265463216]",-1.8013170129912965
2,4,5,PSO,"[83.32626522598538, 77.12913796725641]",-1.9844671871508095
2,4,6,DE/rand/1/bin,"[89.2730146586076, -86.19285089520136]",-1.8724666302125512
2,4,6,DE/best/1/bin,"[-66.68230958812075, -92.70292534699641]",-1.5409809491308875
2,4,6,PSO,"[-86.40803553470045, -98.8853526273572]",-1.9970264631324208
